File	GenProg Repair Status without PREP	GenProg Repair Status with PREP	Category
temp-278-A-bug-13311097-13311271	Repair Found	Repair Found	1
temp-278-A-bug-9422035-9422057	Repair Found	Repair Found	1
temp-279-A-bug-3822288-3822664	Repair Found	Repair Found	1
temp-279-B-bug-18235236-18235329	Repair Found	Repair Found	1
temp-27-A-bug-13487867-13487898	Repair Found	Repair Found	1
temp-27-A-bug-13762176-13762198	Repair Found	Repair Found	1
temp-27-A-bug-14171055-14171115	Repair Found	Repair Found	1
temp-27-A-bug-17976407-17976426	Repair Found	Repair Found	1
temp-27-B-bug-5284071-5284128	Repair Found	Repair Found	1
temp-27-C-bug-6516517-6516543	Repair Found	Repair Found	1
temp-281-A-bug-18294879-18294887	Repair Found	Repair Found	1
temp-282-B-bug-14583951-14584067	Repair Found	Repair Found	1
temp-282-B-bug-18146904-18146915	Repair Found	Repair Found	1
temp-282-C-bug-15737668-15737873	Repair Found	Repair Found	1
temp-282-C-bug-15737832-15737873	Repair Found	Repair Found	1
temp-282-C-bug-15737850-15737873	Repair Found	Repair Found	1
temp-284-A-bug-17986776-17986843	Repair Found	Repair Found	1
temp-284-B-bug-8946526-8946533	Repair Found	Repair Found	1
temp-284-B-bug-9536877-9536901	Repair Found	Repair Found	1
temp-285-A-bug-4028681-4028688	Repair Found	Repair Found	1
temp-287-A-bug-10697706-10697782	Repair Found	Repair Found	1
temp-287-A-bug-14127156-14127164	Repair Found	Repair Found	1
temp-287-A-bug-14208510-14208532	Repair Found	Repair Found	1
temp-287-A-bug-17881006-17891272	Repair Found	Repair Not Found	3
temp-287-B-bug-4368319-4368323	Repair Found	Repair Found	1
temp-287-C-bug-3391049-3391143	Repair Found	Repair Found	1
temp-288-A-bug-12735587-12735603	Repair Found	Repair Found	1
temp-288-A-bug-6891038-6891042	Repair Found	Repair Found	1
temp-288-C-bug-3459325-3459497	Repair Found	Repair Found	1
temp-288-C-bug-3459393-3459497	Repair Found	Repair Found	1
temp-289-A-bug-3461118-3461339	Repair Found	Repair Found	1
temp-289-B-bug-3958622-3958665	Repair Found	Repair Found	1
temp-291-A-bug-6868406-6868448	Repair Found	Repair Found	1
